"","FileNumber","ResultCode","AccountStatus","PermitStatus","DateIssued","DateExpired","AnnualTimeStart","AnnualTimeEnd","ProjectTitle","FirstName","LastName","Organization","HUCNumber","WaterbodyName","BasinName","StreamName","LocationDescription","CommonName","Population","Run","Production","LifeStage","Sex","TakeAction","CaptureMethod","ExpTake","IndMort","Species"
"65","15486-3R","NMFS 10a1A Salmon","Application Complete","Issued",2021-04-16,2025-12-31,2021-04-16,2025-12-31,"Stream Typing in Headwater Streams of the Pacific Northwest for the Purpose of Determining Species Distribution","N.","Peterson","West Fork Environmental, Inc.",99999999,"N/A","N/A","Puget Sound","Puget Sound headwater tributaries","steelhead","Puget Sound","Mixed","Natural","Juvenile","Male and Female","Capture/Handle/Release Animal","Electrofishing, Backpack",10,1,"Puget Sound steelhead"
"66","16303-2R","NMFS 10a1A Salmon","Application Complete","Issued",2018-02-09,2022-12-31,2018-02-09,2022-12-31,"Renew: Marine Juvenile Salmon Investigations in survival and Growth","David","Beauchamp","U.S. Geological Survey",NA,"Admiralty Inlet",NA,NA,"All marine waters of Hood Canal, Puget Sound, and the Strait of Juan de Fuca","bocaccio","Puget Sound/Georgia Basin DPS","N/A","Natural","Adult","Male and Female","Capture/Handle/Release Animal","Trawl, Midwater",4,2,"Puget Sound/Georgia Basin DPS bocaccio"
"67","16303-2R","NMFS 10a1A Salmon","Application Complete","Issued",2018-02-09,2022-12-31,2018-02-09,2022-12-31,"Renew: Marine Juvenile Salmon Investigations in survival and Growth","David","Beauchamp","U.S. Geological Survey",NA,"Admiralty Inlet",NA,NA,"All marine waters of Hood Canal, Puget Sound, and the Strait of Juan de Fuca","Chinook salmon","Puget Sound","Mixed","Listed Hatchery Adipose Clip","Juvenile","Male and Female","Capture/Mark, Tag, Sample Tissue/Release Live Animal","Seine, Beach",2000,0,"Puget Sound Chinook salmon"
"68","16303-2R","NMFS 10a1A Salmon","Application Complete","Issued",2018-02-09,2022-12-31,2018-02-09,2022-12-31,"Renew: Marine Juvenile Salmon Investigations in survival and Growth","David","Beauchamp","U.S. Geological Survey",NA,"Admiralty Inlet",NA,NA,"All marine waters of Hood Canal, Puget Sound, and the Strait of Juan de Fuca","Chinook salmon","Puget Sound","Mixed","Listed Hatchery Adipose Clip","Juvenile","Male and Female","Intentional (Directed) Mortality","Trawl, Midwater",3750,0,"Puget Sound Chinook salmon"
"69","16303-2R","NMFS 10a1A Salmon","Application Complete","Issued",2018-02-09,2022-12-31,2018-02-09,2022-12-31,"Renew: Marine Juvenile Salmon Investigations in survival and Growth","David","Beauchamp","U.S. Geological Survey",NA,"Admiralty Inlet",NA,NA,"All marine waters of Hood Canal, Puget Sound, and the Strait of Juan de Fuca","Chinook salmon","Puget Sound","Mixed","Listed Hatchery Intact Adipose","Adult","Male and Female","Capture/Handle/Release Animal","Trawl, Midwater",20,2,"Puget Sound Chinook salmon"
"70","16303-2R","NMFS 10a1A Salmon","Application Complete","Issued",2018-02-09,2022-12-31,2018-02-09,2022-12-31,"Renew: Marine Juvenile Salmon Investigations in survival and Growth","David","Beauchamp","U.S. Geological Survey",NA,"Admiralty Inlet",NA,NA,"All marine waters of Hood Canal, Puget Sound, and the Strait of Juan de Fuca","Chinook salmon","Puget Sound","Mixed","Listed Hatchery Intact Adipose","Adult","Male and Female","Capture/Mark, Tag, Sample Tissue/Release Live Animal","Hook and line/angler/rod and reel",100,0,"Puget Sound Chinook salmon"
"71","16303-2R","NMFS 10a1A Salmon","Application Complete","Issued",2018-02-09,2022-12-31,2018-02-09,2022-12-31,"Renew: Marine Juvenile Salmon Investigations in survival and Growth","David","Beauchamp","U.S. Geological Survey",NA,"Admiralty Inlet",NA,NA,"All marine waters of Hood Canal, Puget Sound, and the Strait of Juan de Fuca","Chinook salmon","Puget Sound","Mixed","Natural","Juvenile","Male and Female","Capture/Mark, Tag, Sample Tissue/Release Live Animal","Seine, Beach",1000,10,"Puget Sound Chinook salmon"
"72","16303-2R","NMFS 10a1A Salmon","Application Complete","Issued",2018-02-09,2022-12-31,2018-02-09,2022-12-31,"Renew: Marine Juvenile Salmon Investigations in survival and Growth","David","Beauchamp","U.S. Geological Survey",NA,"Admiralty Inlet",NA,NA,"All marine waters of Hood Canal, Puget Sound, and the Strait of Juan de Fuca","Chinook salmon","Puget Sound","Mixed","Natural","Adult","Male and Female","Capture/Mark, Tag, Sample Tissue/Release Live Animal","Seine, Purse",100,2,"Puget Sound Chinook salmon"
"73","16303-2R","NMFS 10a1A Salmon","Application Complete","Issued",2018-02-09,2022-12-31,2018-02-09,2022-12-31,"Renew: Marine Juvenile Salmon Investigations in survival and Growth","David","Beauchamp","U.S. Geological Survey",NA,"Admiralty Inlet",NA,NA,"All marine waters of Hood Canal, Puget Sound, and the Strait of Juan de Fuca","steelhead","Puget Sound","Mixed","Natural","Juvenile","Male and Female","Capture/Mark, Tag, Sample Tissue/Release Live Animal","Seine, Purse",30,1,"Puget Sound steelhead"
"74","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","Chinook salmon","Lower Columbia River","Mixed","Listed Hatchery Adipose Clip","Juvenile","Unknown","Capture/Handle/Release Animal","Electrofishing, Backpack",50,2,"Lower Columbia River Chinook salmon"
"75","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","Chinook salmon","Lower Columbia River","Mixed","Natural","Adult","Unknown","Capture/Handle/Release Animal","Electrofishing, Boat",2,0,"Lower Columbia River Chinook salmon"
"76","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","Chinook salmon","Lower Columbia River","Mixed","Natural","Juvenile","Unknown","Capture/Handle/Release Animal","Hook and line/angler/rod and reel",25,1,"Lower Columbia River Chinook salmon"
"77","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","Chinook salmon","Snake River fall-run","Fall","Listed Hatchery Adipose Clip","Juvenile","Unknown","Capture/Handle/Release Animal","Electrofishing, Backpack",50,2,"Snake River fall-run Chinook salmon"
"78","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","Chinook salmon","Snake River fall-run","Fall","Natural","Adult","Unknown","Capture/Handle/Release Animal","Electrofishing, Boat",2,0,"Snake River fall-run Chinook salmon"
"79","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","Chinook salmon","Snake River fall-run","Fall","Natural","Juvenile","Unknown","Capture/Handle/Release Animal","Hook and line/angler/rod and reel",25,1,"Snake River fall-run Chinook salmon"
"80","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","Chinook salmon","Snake River spring/summer-run","Spring/Summer","Listed Hatchery Adipose Clip","Juvenile","Unknown","Capture/Handle/Release Animal","Electrofishing, Backpack",50,2,"Snake River spring/summer-run Chinook salmon"
"81","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","Chinook salmon","Snake River spring/summer-run","Spring/Summer","Natural","Adult","Unknown","Capture/Handle/Release Animal","Electrofishing, Boat",2,0,"Snake River spring/summer-run Chinook salmon"
"82","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","Chinook salmon","Snake River spring/summer-run","Spring/Summer","Natural","Juvenile","Unknown","Capture/Handle/Release Animal","Hook and line/angler/rod and reel",25,1,"Snake River spring/summer-run Chinook salmon"
"83","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","Chinook salmon","Upper Columbia River spring-run","Spring","Listed Hatchery Adipose Clip","Juvenile","Unknown","Capture/Handle/Release Animal","Electrofishing, Backpack",50,2,"Upper Columbia River spring-run Chinook salmon"
"84","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","Chinook salmon","Upper Columbia River spring-run","Spring","Natural","Adult","Unknown","Capture/Handle/Release Animal","Electrofishing, Boat",2,0,"Upper Columbia River spring-run Chinook salmon"
"85","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","Chinook salmon","Upper Columbia River spring-run","Spring","Natural","Juvenile","Unknown","Capture/Handle/Release Animal","Hook and line/angler/rod and reel",25,1,"Upper Columbia River spring-run Chinook salmon"
"86","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","Chinook salmon","Upper Willamette River","Spring","Listed Hatchery Adipose Clip","Juvenile","Unknown","Capture/Handle/Release Animal","Electrofishing, Backpack",50,2,"Upper Willamette River Chinook salmon"
"87","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","Chinook salmon","Upper Willamette River","Spring","Natural","Adult","Unknown","Capture/Handle/Release Animal","Electrofishing, Boat",2,0,"Upper Willamette River Chinook salmon"
"88","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","Chinook salmon","Upper Willamette River","Spring","Natural","Juvenile","Unknown","Capture/Handle/Release Animal","Hook and line/angler/rod and reel",25,1,"Upper Willamette River Chinook salmon"
"89","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","chum salmon","Columbia River","N/A","Natural","Juvenile","Unknown","Capture/Handle/Release Animal","Electrofishing, Backpack",10,1,"Columbia River chum salmon"
"90","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","coho salmon","Lower Columbia River","N/A","Listed Hatchery Adipose Clip","Adult","Unknown","Capture/Handle/Release Animal","Hook and line/angler/rod and reel",2,0,"Lower Columbia River coho salmon"
"91","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","coho salmon","Lower Columbia River","N/A","Natural","Adult","Unknown","Capture/Handle/Release Animal","Electrofishing, Backpack",2,0,"Lower Columbia River coho salmon"
"92","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","coho salmon","Lower Columbia River","N/A","Natural","Juvenile","Unknown","Capture/Handle/Release Animal","Electrofishing, Boat",50,2,"Lower Columbia River coho salmon"
"93","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","coho salmon","Oregon Coast","N/A","Listed Hatchery Adipose Clip","Adult","Unknown","Capture/Handle/Release Animal","Hook and line/angler/rod and reel",2,0,"Oregon Coast coho salmon"
"94","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","coho salmon","Oregon Coast","N/A","Natural","Adult","Unknown","Capture/Handle/Release Animal","Electrofishing, Backpack",2,0,"Oregon Coast coho salmon"
"95","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","coho salmon","Oregon Coast","N/A","Natural","Juvenile","Unknown","Capture/Handle/Release Animal","Electrofishing, Boat",50,2,"Oregon Coast coho salmon"
"96","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","coho salmon","Southern Oregon/Northern California Coast","N/A","Listed Hatchery Adipose Clip","Adult","Unknown","Capture/Handle/Release Animal","Hook and line/angler/rod and reel",1,0,"Southern Oregon/Northern California Coast coho salmon"
"97","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","coho salmon","Southern Oregon/Northern California Coast","N/A","Natural","Adult","Unknown","Capture/Handle/Release Animal","Electrofishing, Backpack",1,0,"Southern Oregon/Northern California Coast coho salmon"
"98","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","coho salmon","Southern Oregon/Northern California Coast","N/A","Natural","Juvenile","Unknown","Capture/Handle/Release Animal","Electrofishing, Boat",20,1,"Southern Oregon/Northern California Coast coho salmon"
"99","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","steelhead","Lower Columbia River","Mixed","Listed Hatchery Adipose Clip","Adult","Unknown","Capture/Handle/Release Animal","Hook and line/angler/rod and reel",2,0,"Lower Columbia River steelhead"
"100","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","steelhead","Lower Columbia River","Mixed","Natural","Adult","Unknown","Capture/Handle/Release Animal","Electrofishing, Backpack",2,0,"Lower Columbia River steelhead"
"101","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","steelhead","Lower Columbia River","Mixed","Natural","Juvenile","Unknown","Capture/Handle/Release Animal","Electrofishing, Boat",50,2,"Lower Columbia River steelhead"
"102","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","steelhead","Middle Columbia River","Summer","Listed Hatchery Adipose Clip","Adult","Unknown","Capture/Handle/Release Animal","Hook and line/angler/rod and reel",2,0,"Middle Columbia River steelhead"
"103","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","steelhead","Middle Columbia River","Summer","Natural","Adult","Unknown","Capture/Handle/Release Animal","Electrofishing, Backpack",2,0,"Middle Columbia River steelhead"
"104","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","steelhead","Middle Columbia River","Summer","Natural","Juvenile","Unknown","Capture/Handle/Release Animal","Electrofishing, Boat",150,7,"Middle Columbia River steelhead"
"105","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","steelhead","Middle Columbia River","Winter","Natural","Juvenile","Unknown","Capture/Handle/Release Animal","Hook and line/angler/rod and reel",25,1,"Middle Columbia River steelhead"
"106","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","steelhead","Snake River Basin","Summer","Listed Hatchery Adipose Clip","Juvenile","Unknown","Capture/Handle/Release Animal","Electrofishing, Backpack",50,2,"Snake River Basin steelhead"
"107","16329-3R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-22,2023-12-31,2019-05-22,2023-12-31,"Renew: Modification: Oregon Department of Environmental Quality, Laboratory and Environmental Assessment Division, Fish Monitoring Programs, 2019 - 2023",NA,NA,"Oregon Department of Environmental Quality",99999999,"N/A","N/A","Waterbodies across the state of Oregon","Sample locations are not identified at this time.  Final sampling list depends on future monitoring budgets, agency priorities, legislative mandates, landowner access permission, water levels during the sampling window, and safety considerations.","steelhead","Snake River Basin","Summer","Natural","Adult","Unknown","Capture/Handle/Release Animal","Electrofishing, Boat",2,0,"Snake River Basin steelhead"
